reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
95907325-0b33-4488-af9d-486823e5f2f5,Bambang Soedoro,https://play-lh.googleusercontent.com/a/AEdFTp6WYClqCX5fajSp2PLEL26mq8f7F7-2327YVFdh=mo,Sangat baik Untuk mengisi waktu luang Dan untuk kesehatan mata agar selalu pengelihatan lebih waspada,5,0,27.7.3,2023-01-12 01:33:12,,
d767708b-9185-45be-bbff-79aa21995289,Dewi Wulansari,https://play-lh.googleusercontent.com/a/AEdFTp4t_wCGRYWJ-RBtEuCN_UgirHe2zSBLF75a9Cv0=mo,Jos,5,0,27.4.5,2023-01-12 01:31:53,,
78b53ae3-7a90-4c3a-8285-1c88c7f0d69f,Nopel Siregar,https://play-lh.googleusercontent.com/a-/AD5-WCkYPTGuVnBOc5eJwig8Ktjz_Q3MYceGWfUX7g5Myg,Dekripsi video menutupi terjemahan video,2,0,27.3.4,2023-01-12 01:28:08,,
ac15a1e5-87ef-47d8-b74e-ecb926e95560,Planet Ponsel,https://play-lh.googleusercontent.com/a/AEdFTp7vBE9AivWi60cUfktbbIonaHnAllj2BWZsKSIy=mo,Baik,5,0,,2023-01-12 01:25:34,,
85077d79-ba4a-4bda-b3c9-28d36c653ab5,DAVID SYAHPUTRA,https://play-lh.googleusercontent.com/a-/AD5-WCnkSz9RQ8j6eUws36SY9pfWGYJ4wzTd7CUaRpsPCA,SAYA BINGUNG DENGAN ADMIN TIKTOK DIKIT² PELANGGARAN ANEHNYA BIKIN VIDEO PAKAI FITUR BIKIN VIDEO OTOMATIS TAPI MALAH KENA PELANGGARAN JUGA MAKIN KESINI MAKIN ANEH ATURAN TIKTOK,1,9,27.7.3,2023-01-12 01:16:01,,
df87e365-1b51-4d47-bef4-5621067ebe32,Gus Anjas,https://play-lh.googleusercontent.com/a/AEdFTp5rpRrTBt7SNXc-7ZhtltkU91Wy6Uu0BWLOTDzZ=mo,Titok ini sangat luar biasa sekali,5,0,27.7.3,2023-01-12 01:14:59,,
d14b4544-304e-4646-9ebb-f2357501b1df,fikri farizi,https://play-lh.googleusercontent.com/a/AEdFTp6UR8a1bcHgm7z_ZPKEXBWIDIk29xQAsYkFgH1P=mo,Stelah di update malahan kalo buka aplikasi lama gk kaya biasanya,1,0,27.7.3,2023-01-12 01:07:29,,
e81fc4c8-c9b6-4133-bfc1-28d91f4b47f0,Ishq Aulia,https://play-lh.googleusercontent.com/a/AEdFTp6LYxm4BJrefUdhjBTZadzYzRQXXQW_s3vRUac5=mo,Aplikasi ini bagus,5,0,27.4.5,2023-01-12 01:07:02,,
87c8e39e-3877-4100-a476-b7be30a314f6,yaya Agetha,https://play-lh.googleusercontent.com/a/AEdFTp6q9PY13_oVmONgpw60rK0l6AxI2vBUdsJONIrs=mo,Bagus,3,0,,2023-01-12 01:05:37,,
b57c35fb-e9a1-412a-9bce-8befdba21cd3,Dio Pisma,https://play-lh.googleusercontent.com/a/AEdFTp7_k2wLcbuBAiwQyMzwpn2jEWDXHjP9w4SUcbQQ=mo,"Tolong buat yang live kayak mandi lumpur , Live siram air aja . Kasian mereka . Mungkin mereka di suruh sama orang ,atau bisa dikatakan terpaksa ngelakuinnya . Tolong banget sama agensi tiktok ,buat banned aja livee yang seperti itu 🙏🙏",3,0,27.6.3,2023-01-12 01:03:50,,
96872c98-ddaa-4538-9084-14839bb4add9,Ahmad Sapeuloh,https://play-lh.googleusercontent.com/a-/AD5-WCngt7KOUlVOj4FplpJi9GRZIX3clPcLoIL6x6AwDQ8,Bagus,5,0,27.6.3,2023-01-12 01:02:43,,
c4a55d27-66bf-4990-9830-68a5510678be,Awal Rioo,https://play-lh.googleusercontent.com/a/AEdFTp48q_xaBC_hFiGtkPaRQNgogoo7MRvNJyrvHiDs=mo,Pokoknya top untuk apk ini,5,0,27.6.3,2023-01-12 00:59:42,,
69da04b5-3e4b-49ac-8d70-b7ad7a525bbd,Didin Ira,https://play-lh.googleusercontent.com/a/AEdFTp4tBeJKwAFc8b90Ti7iEGUTG0Tl8D4ga3W4Ye2V=mo,mantap🇲🇨😁,5,0,,2023-01-12 00:56:35,,
