reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,label
c3c5f69d-4b8e-4237-919e-6992d60b9f29,M ryan,https://play-lh.googleusercontent.com/a/AEdFTp4vpEuKiQ8EYsRzpRvSiFOjHv6vK_wPgApbzbAi=mo,bagus,1,0,27.1.3,2023-01-06 18:21:30,,,-1.0
82362c4d-4610-47d7-a883-48152da9bf2b,safarar021 safarar021,https://play-lh.googleusercontent.com/a/AEdFTp4ZGCOXOQAv6518Cnaq1bUMLXzr5UIOxsPSCy2Q=mo,Tampa tik tok hidub terasa sepi🤣🤣,5,0,,2023-01-07 00:34:27,,,1.0
b4a72046-80d6-485a-8187-2945e38d9cc8,norman mahendra,https://play-lh.googleusercontent.com/a-/AD5-WCk7ZCN5ZFJwdRgBucn5T5Ea-Rzii388CdnrscYln7I,Goid,5,0,27.7.3,2023-01-07 12:54:00,,,1.0
4dc9c809-21bb-4370-94d3-d4e83c813be2,dimas riski kurniawan,https://play-lh.googleusercontent.com/a/AEdFTp4mcXRsrpUOf44v16vo0yeuEpYe6LPgIGklE8Yc=mo,sangat bagus,5,0,,2023-01-06 22:16:01,,,1.0
d3ba443c-da1d-4583-8b08-f34180c7f598,bapak sutiman,https://play-lh.googleusercontent.com/a/AEdFTp4qXCDUg7UESuvowd10V29805x6xJ_QidNfPIsY=mo,P im ZZ@@@,4,0,27.5.4,2023-01-06 16:32:52,,,1.0
3cd64d9f-7e86-4d6d-b5f7-eea1d58287e8,Asep Dermawan,https://play-lh.googleusercontent.com/a/AEdFTp5wnZVRDy3nTYsfcVkeQ-Au-IWDEDczMT34HBUK=mo,Bachusck,5,0,,2023-01-08 06:29:10,,,1.0
84ee25cb-aa57-44de-9b6f-d40deda57830,Ati Susilawati,https://play-lh.googleusercontent.com/a/AEdFTp4TFtLSRSa8rTGwU9igLoqQ8FzLBNlJ2SlooBPH=mo,"I,M HAPPY APL TIKTOK HAPPY YOUR IS HOME",4,0,,2023-01-07 13:32:40,,,1.0
8ab20016-d4c1-4b40-af02-12bba4d6cfb4,Irma wati,https://play-lh.googleusercontent.com/a/AEdFTp6Bdr5ifpYE7S5MWCjxkwX-6Xan13YCXWZcLZwe=mo,Kamu nanya,5,0,27.6.3,2023-01-08 14:03:46,,,1.0
619896ee-8a92-4d4a-85e1-96a951396810,Muhammad Ikbal,https://play-lh.googleusercontent.com/a-/AD5-WCkUX0W__6iJ07zgIJe60-TDrUQfohMxMTa5KKmA,Keren,5,0,27.6.3,2023-01-07 18:02:10,,,1.0
5b6b3017-ac4c-4bf1-b109-03463b9b0c5e,Kang Oyib,https://play-lh.googleusercontent.com/a-/AD5-WClxwyeYr34KQWaHrI6Ajnz1gCAyELjd3bdARmUCjw,Baik,5,0,27.6.3,2023-01-07 11:53:37,,,1.0
4481d910-a392-40c9-bb7e-ca22f72d65e4,Gnwnxcoustik,https://play-lh.googleusercontent.com/a-/AD5-WCmP1O3D6oxBOofgeuaAAYqqYWpg-oR1clGzwBnDIg,"Akun saya terkunci tidak tau alasannya, tolong dibantu untuk proses akunnya Ussername : snapstorywa_",2,0,27.6.3,2023-01-07 05:12:26,,,-1.0
954a9b08-c6f9-4a56-a825-b14dd4641308,Bintang Rahma syifa,https://play-lh.googleusercontent.com/a/AEdFTp4SwQ0KklRsVLPsPEN35SWmKHz2kKfmMB3Mx4s=mo,Krna aku mau efek suara wulan tpi ga bisa mulu udh di apdate tpi ttp ga bisa,4,0,,2023-01-08 11:05:14,,,1.0
d2d74680-5360-4290-b522-157cd9d66717,Deunk Tea,https://play-lh.googleusercontent.com/a/AEdFTp7dTSHncFSXqYx7Q4KyNKRSanQKpjmutzA_0oQb=mo,👍,4,0,,2023-01-07 21:33:59,,,1.0
