reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
19d1c341-ca7d-4b53-8948-207bb6c1b1fa,Desak Putu Suci Purnama Sari,https://play-lh.googleusercontent.com/a/AEdFTp4WJtP25f3LUBSKsSuSeZiLzIvSZZLJ3eE6xRsv=mo,BAGUSSS OH YA TIKTOK KASI AKU CENTANG BIRU DONKK,5,0,27.7.3,2023-01-08 18:19:51,,
ea498e0c-ed05-4edd-b3db-46899cf708b2,khalif Akbar,https://play-lh.googleusercontent.com/a/AEdFTp6nzdTRt543nfNCZyfDFUMtioBlBDLhr-oG_qXd=mo,bgus,5,0,,2023-01-08 18:19:25,,
d47a2203-298b-4782-9932-57cacd52ff9f,It's Wowici,https://play-lh.googleusercontent.com/a-/AD5-WCmFPg8ylRA9XoWQ5qgXOh4UwjrAIpplFGmx3Hrz,"Fitur search filternya ilang di hpku, padahal di hp yang lain ada semua. Tampilannya pun beda, terbatas banget. Gabisa take photo, cuma bisa video. Udah bikin akun pun sama aja. Install ulang pun sama aja. Please kenapa ini? Udah update padahal",3,0,,2023-01-08 18:18:36,,
498c93e1-3c6a-4ae3-913d-586b09ba8be9,Nani Miot,https://play-lh.googleusercontent.com/a/AEdFTp4a66uUbzEgZmj6kgL_rj_9abahkBhRyt6FzjnH=mo,👍👍👍👍👍👍👍,5,0,27.3.3,2023-01-08 18:16:33,,
7d91e803-2285-40dd-a5ba-baf93094bb15,Darel Saleh,https://play-lh.googleusercontent.com/a/AEdFTp7lhMMUClkNz_TkoPyMDoGdSr6mSnKIgm5NoBH2=mo,Filter terbaru tidak bisa di temukan😢,1,0,27.7.3,2023-01-08 18:16:08,,
01aaa947-809e-40bf-b13e-29970f2a9d39,Geyza Dinda,https://play-lh.googleusercontent.com/a/AEdFTp6dCJ7YpEsFR_4iIxHTN1bD18llqibhe5abJ6eX=mo,"Aku dulu donlod tiktok ini dan d suruh untuk update, setelah itu ada yg menghapus tiktok ini, dan aku donwload tiktok entah knp gak bisa di donwload",1,0,,2023-01-08 18:15:56,,
0128b6a2-b399-400d-b2ff-651bc79cd45c,Mina Br.sirait,https://play-lh.googleusercontent.com/a/AEdFTp4XtMlxvS6_EU1p9iXoZwP7ajj_AGfhxWc-bQqg=mo,Sangat cocok untuk Anda yang ingin hiburan nonton ini,5,0,27.3.4,2023-01-08 18:12:54,,
48923d62-c79f-4b2f-b127-d6d9831ec6a9,Saktiawan Sinaga,https://play-lh.googleusercontent.com/a/AEdFTp7HWW93nz1lZrhLby9_y4S55iLdUv_Ictex2lSm=mo,"Gk bsa di download anjibg ,:)",1,0,,2023-01-08 18:10:17,,
be6ab344-9a70-4fae-b94c-b261c7b1b4b8,Pradita Septiana,https://play-lh.googleusercontent.com/a/AEdFTp7xa57PnztgjH0Lr4ush9WxPdR7PY8V-C3s8DSO=mo,Apk ny jelek,2,0,,2023-01-08 18:08:03,,
b3fc0346-a52f-46bb-8ef9-3d393d969360,Illa Isnata,https://play-lh.googleusercontent.com/a/AEdFTp53iF_ntrlKP5sDi1_5kRu3oVGz_2jA2lB-KU742w=mo,sukaaa,5,1,27.7.3,2023-01-08 18:05:51,,
